H	*H					
He	*He					
Li	 Li	 Li3N				
Be	 Be					
B	 B					
C	 C					
N	AlN					
O	 Al2O3	 SiO2	 MgO	 Li2B4O7		
F	 CaF2	 NaF	 SrF2	 GdF3	 ThF4	 LuF3
Ne	*Ne					
Na	 NaF	 NaCl	 Jadeite	 NaAlSi2O6		
Mg	 Mg	 MgO				
Al	 Al	 Al2O3	AlN			
Si	 Si	 SiO2				
P	 GaP	K496	K1420	GdP5O14	Apatite	
S	 FeS2	 FeS	CuS	 ZnS	 Sb2S3	
Cl	 NaCl	 KCl	BaCl			
Ar	*Ar					
K	KCl	KBr	K1597	K2384		
Ca	 CaF2	 CaCl2	CaBr2			
Sc	 Sc					
Ti	 Ti	TiO2				
V	 V					
Cr	 Cr	Cr7C3	Cr3C2	CrC	Cr2O3	
Mn	 Mn	K2155				
Fe	 Fe	 Fe3Si	 FeS	 FeS2		
Co	 Co	CoAsS	CoAs2	CoAs3	CoCO3	
Ni	 Ni					
Cu	 Cu	 Cu2O	 CuO			
Zn	 Zn	 ZnS				
Ga	 GaP	GaAs	GaTe			
Ge	 Ge	 GeO2	 GeTe	 Ge2Te3		
As	 As	 InAs	 As2Te3			
Se	 Se	 In2Se3	 CdSe	 SnSe		
Br	 KBr	CaBr2	MgBr2	 CsBr		
Kr	*Kr					
Rb	 RbI					
Sr	Sr	SrS	 SrF2	 SrTiO3		
Y	 Y	Y2Si	Y2O3			
Zr	 Zr	ZrB2	ZrO2			
Nb	 Nb	Nb2O5				
Mo	 Mo	MoC	MoS2			
Tc	Tc	TcO2				
Ru	 Ru					
Rh	 Rh					
Pd	 Pd					
Ag	 Ag					
Cd	 Cd	 CdS	 CdSe			
In	 In	 InP	 InAs	 In2Se3		
Sn	 Sn	 SnSe				
Sb	 Sb	 Sb2S3				
Te	 Te	 Ge2Te3	 As2Te3	 GeTe	 SrTe	
I	 RbI					
Xe	*Xe					
Cs	 CsBr					
Ba	 BaCl					
La	 LaB6					
Ce	 Ce					
Pr	PrF3					
Nd	 NdCl3	 Nd2O3				
Pm	PmCl3	PmF3	PmBr3			
Sm	 Sm					
Eu	 Eu(PO3)3					
Gd	 Gd	 GdF3	 GdP5O14			
Tb	 Tb					
Dy	 Dy					
Ho	 Ho					
Er	 Er					
Tm	 Tm					
Yb	 Yb					
Lu	 Lu	 LuF3				
Hf	 Hf					
Ta	 Ta					
W	 W	 BaWO4				
Re	 Re					
Os	 Os					
Ir	 Ir					
Pt	 Pt	 PtCr				
Au	 Au					
Hg	HgTe	HgS				
Tl	 Tl					
Pb	 Pb	Pb2O3	PbS			
Bi	 Bi					
Po	PoO2					
At						
Rn						
Fr						
Ra						
Ac						
Th	 ThF4					
Pa						
U	 U					
Np						
Pu						
Am						
